Sub, eta1, eta2, beta1, beta2, lambda, w, p, LL,r1,r2
2,0.901407387,0.844914953,6.23030709,1.620782717,0.559468408,0.394888879,0.095201853,197.2617655,774.0838323,949.9717514
3,0.776207797,0.54901067,10.0249384,5.835628028,0.418404517,0.391136744,0.062778014,135.8175518,671.1098901,890.2486486
4,0.508240345,0.694624504,4.136963316,2.898913242,0.893037322,0.36879226,0.107509746,205.1684868,720.9361702,868.36
5,0.58129085,0.438219291,5.152156716,5.021648815,0.999999,0.125298415,0.2126617,148.677581,693.8235294,888.9292929
6,0.452351018,0.438858137,9.366618355,2.076744484,0.397972842,0.862564807,0.021118124,224.6641914,698.8603352,926.4631579
8,0.502356803,0.071735777,15.04012612,2.02153023,0.103351704,0.804912371,0.012525292,252.8003238,729.8,768.9095477
10,0.496854033,0.749504402,3.396981183,3.29922799,0.715703859,0.370420894,0.170901923,218.0226222,771.1974522,941.4040404
11,0.999999,0.420040296,5.376159669,3.693594286,0.443242799,0.545986589,0.297166741,174.8580889,655.8172589,849.425641
12,0.266646765,0.289082642,7.163951729,4.242114004,0.407947509,0.306072808,0.167362975,186.5799011,679.2216495,947.7918782
15,0.942331515,0.870257219,8.247930138,4.857690996,0.417886011,0.731757649,0.088823441,174.2630548,761.5885714,792.2925532
16,0.999999,0.157830909,3.001250444,4.990167689,0.484984148,0.514180693,0.141347657,217.1435875,663.9893048,908.373057
17,0.436276959,0.22973605,5.958062162,7.759800122,0.826652387,0.445536453,0.29988519,119.2087435,729.0564103,1058.521053
